w	Stern_exp	Stern_pred
284	0.0014357201440419907	0.0014369657761994956
285	0.0017409181387335515	0.0017505111461530059
286	0.0021392516717112695	0.0021188918050221526
287	0.002559078021216562	0.002547731885003411
288	0.003072039909008012	0.0030440615513423756
289	0.003562076125836715	0.003614910969284641
290	0.004238383419237733	0.004263092204928445
291	0.005030751921887654	0.004995635423519382
292	0.005790164772528627	0.005815352691155688
293	0.006765938642880519	0.006726462106984723
294	0.007664338373733141	0.007728963671006485
295	0.0087934276686484	0.008824263416270092
296	0.009964069742183636	0.010009549276677309
297	0.011308087202374641	0.011280603153080776
298	0.012576163377501549	0.012630394880234902
299	0.014070630553385578	0.01405189429289409
300	0.015532142077260657	0.015536665192763628
301	0.01699365360113574	0.017055180885812017
302	0.018555464935472832	0.018615877570333974
303	0.020117276269809928	0.02017657425485593
304	0.021607444882388444	0.0217232106088867
305	0.023154927672373822	0.02325578663242628
306	0.024688081918007483	0.024718061003509914
307	0.02603496508706883	0.026110033722137608
308	0.02735319116742675	0.027403584127326977
309	0.028556788892970933	0.02857059155809565
310	0.029645758263701385	0.02961105601444362
311	0.03047681383610094	0.030482796504897325
312	0.031150255420631615	0.031171752698965577
313	0.03169474010599684	0.03167792459664837
314	0.03199563953738289	0.03197319153696334
315	0.03211026789219662	0.03208567418089285
316	0.03190966827127259	0.03197319153696334
317	0.03163742592858997	0.031663864266157186
318	0.03120756959803848	0.031143632037983197
319	0.030405171114342357	0.030454675843914945
320	0.029674415352404816	0.02956887502297005
321	0.028556788892970933	0.02854247089711327
322	0.02751080515529563	0.02736140313585341
323	0.02607795072012398	0.02606785273066404
324	0.0247024104623592	0.02466181968154516
325	0.023183584761077253	0.023199545310461523
326	0.021793715958960756	0.021666969286921946
327	0.020174590447216794	0.020120332932891175
328	0.018584122024176267	0.018545575917878032
329	0.01699365360113574	0.01699893956384726
330	0.015503484988557225	0.015480423870798872
331	0.01404770488242283	0.013997059003978454
332	0.012613417592816012	0.012578371657417504
333	0.011217817372958827	0.011231391996361615
334	0.009971234014359493	0.009963150186056386
335	0.008787696250907714	0.008780676391747406
336	0.0077617724753248135	0.007689594745631156
337	0.006631250325974384	0.0066899052477076325
338	0.0057529105572141645	0.005783013931025954
339	0.005017856231971109	0.004966108729487885
340	0.004284234761163226	0.004236377576995186
341	0.003595031777845663	0.00359100840744962
342	0.003017591440471489	0.0030243770886547116
343	0.002518958097031756	0.0025308594884139845
344	0.0021220574184892095	0.002103425441481845
345	0.001735186720992865	0.001737856848710936
346	0.0014271230174309607	0.0014257175118065446
347	0.0011598956652714486	0.0011620863150967546
348	0.000941958505681841	0.0009410579197752666
349	0.0007496694404818059	0.000757148796950517
350	0.0006154109799062225	0.000605297227645678
351	0.0004808659484436049	0.0004805820961888333
352	0.00038787369560096496	0.000379207113347362
353	0.00029072616489632727	0.0002972353865837313
354	0.00022825371152284342	0.0002314330398849677
355	0.0001686469670197029	0.00017898800715283346
356	0.00013282560614041172	0.00013758033385628243
357	0.00010832379529897654	0.00010503066876918036
